name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
Anti Cardiolipin IgG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"The Anticardiolipin Antibodies Test, or ACA Blood Test, aids in the diagnosis of antiphospholipid syndrome (APS). APS is an autoimmune disorder that produces anticardiolipin antibodies. These antibodies interfere with the blood clotting process, which can result in inappropriate or excessive clotting.","Anticardiolipin اینٹی باڈیز ٹیسٹ، یا ACA بلڈ ٹیسٹ، antiphospholipid syndrome (APS) کی تشخیص میں مدد کرتا ہے۔ اے پی ایس ایک خودکار قوت مدافعت کا عارضہ ہے جو اینٹی کارڈیولپین اینٹی باڈیز پیدا کرتا ہے۔ یہ اینٹی باڈیز خون جمنے کے عمل میں مداخلت کرتی ہیں، جس کے نتیجے میں نامناسب یا ضرورت سے زیادہ جمنا ہو سکتا ہے۔"
Anti Cardiolipin IgM,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Anticardiolipins are antibodies produced by the immune system against the platelet membrane phospholipids responsible for the coagulation of blood clots.,Anticardiolipins خون کے جمنے کے لئے ذمہ دار پلیٹلیٹ میمبرین فاسفولیپڈس کے خلاف مدافعتی نظام کے ذریعہ تیار کردہ اینٹی باڈیز ہیں۔
Anti CCP (Cyclic Citrullinated Peptide),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"This test looks for CCP (cyclic citrullinated peptide) antibodies in the blood. CCP antibodies, also called anti-CCP antibodies, are a type of antibody called autoantibodies. Antibodies and autoantibodies are proteins made by the immune system. CCP antibodies target healthy tissues in the joints.","یہ ٹیسٹ خون میں CCP (cyclic citrullinated peptide) اینٹی باڈیز کو تلاش کرتا ہے۔ سی سی پی اینٹی باڈیز، جسے اینٹی سی سی پی اینٹی باڈیز بھی کہا جاتا ہے، اینٹی باڈی کی ایک قسم ہے جسے آٹو اینٹی باڈیز کہتے ہیں۔ اینٹی باڈیز اور آٹو اینٹی باڈیز مدافعتی نظام کے ذریعہ تیار کردہ پروٹین ہیں۔ سی سی پی اینٹی باڈیز جوڑوں میں صحت مند بافتوں کو نشانہ بناتے ہیں۔"
Anti Centromers Ab,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test is used to detect aut-immune disease.Anti-centromere antibodies are found in approximately 60% of patients with limited systemic scleroderma,اس ٹیسٹ کا استعمال آٹو امیون بیماری کا پتہ لگانے کے لیے کیا جاتا ہے۔ اینٹی سینٹرومیر اینٹی باڈیز محدود سیسٹیمیٹک سکلیروڈرما کے تقریباً 60% مریضوں میں پائی جاتی ہیں۔
Anti DS-DNA,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Anti-dsDNA is one of several antinuclear antibodies (ANA), a group of antibodies directed against substances found in the nucleus of cells. While it may be present at a low level with a number of disorders, anti-dsDNA is primarily associated with the autoimmune disorder systemic lupus erythematosus","اینٹی ڈی ایس ڈی این اے متعدد اینٹی نیوکلیئر اینٹی باڈیز (اے این اے) میں سے ایک ہے، اینٹی باڈیز کا ایک گروپ جو خلیوں کے نیوکلئس میں پائے جانے والے مادوں کے خلاف ہدایت کرتا ہے۔ اگرچہ یہ بہت سے عوارض کے ساتھ کم سطح پر موجود ہو سکتا ہے، اینٹی ڈی ایس ڈی این اے بنیادی طور پر آٹو امیون ڈس آرڈر سیسٹیمیٹک لیوپس ایریٹیمیٹوسس سے وابستہ ہے۔"
Anti Endomyesial Abs,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test is used to detect autoimmune antibodies. Body makes antibodies to the gluten called endomysial antibodies (EMA). These autoantibodies cause your intestine to swell. They can also keep your body from fully absorbing nutrients from food,یہ ٹیسٹ آٹومیمون اینٹی باڈیز کا پتہ لگانے کے لیے استعمال ہوتا ہے۔ جسم گلوٹین کے لیے اینٹی باڈیز بناتا ہے جسے اینڈومیسیئل اینٹی باڈیز (EMA) کہتے ہیں۔ یہ آٹو اینٹی باڈیز آپ کی آنت کو پھولنے کا سبب بنتی ہیں۔ وہ آپ کے جسم کو کھانے سے غذائی اجزاء کو مکمل طور پر جذب کرنے سے بھی روک سکتے ہیں۔
Anti Endomyesial IgA,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test is used to detect autoimmune antibodies. Body makes antibodies to the gluten called endomysial antibodies (EMA). These autoantibodies cause your intestine to swell. They can also keep your body from fully absorbing nutrients from food,یہ ٹیسٹ آٹومیمون اینٹی باڈیز کا پتہ لگانے کے لیے استعمال ہوتا ہے۔ جسم گلوٹین کے لیے اینٹی باڈیز بناتا ہے جسے اینڈومیسیئل اینٹی باڈیز (EMA) کہتے ہیں۔ یہ آٹو اینٹی باڈیز آپ کی آنت کو پھولنے کا سبب بنتی ہیں۔ وہ آپ کے جسم کو کھانے سے غذائی اجزاء کو مکمل طور پر جذب کرنے سے بھی روک سکتے ہیں۔
Anti Endomyesial IgG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test is used to detect autoimmune antibodies. Body makes antibodies to the gluten called endomysial antibodies (EMA). These autoantibodies cause your intestine to swell. They can also keep your body from fully absorbing nutrients from food,یہ ٹیسٹ آٹومیمون اینٹی باڈیز کا پتہ لگانے کے لیے استعمال ہوتا ہے۔ جسم گلوٹین کے لیے اینٹی باڈیز بناتا ہے جسے اینڈومیسیئل اینٹی باڈیز (EMA) کہتے ہیں۔ یہ آٹو اینٹی باڈیز آپ کی آنت کو پھولنے کا سبب بنتی ہیں۔ وہ آپ کے جسم کو کھانے سے غذائی اجزاء کو مکمل طور پر جذب کرنے سے بھی روک سکتے ہیں۔
Anti Epstein Barr Virus IgG (EBV),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test is used to detect antibodies against Epstien Barr Virus,یہ ٹیسٹ ایپسٹین بار وائرس کے خلاف اینٹی باڈیز کا پتہ لگانے کے لیے استعمال کیا جاتا ہے۔
Anti Epstein Barr Virus IgM (EBV),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test is used to detect antibodies against Epstien Barr Virus,یہ ٹیسٹ ایپسٹین بار وائرس کے خلاف اینٹی باڈیز کا پتہ لگانے کے لیے استعمال کیا جاتا ہے۔
Anti GAD Abs,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies to glutamic acid decarboxylase (anti-GAD) are reliable serological markers of Insulin-dependent diabetes mellitus.,گلوٹامک ایسڈ ڈیکاربوکسیلیس (اینٹی جی اے ڈی) کے اینٹی باڈیز انسولین پر منحصر ذیابیطس میلیتس کے قابل اعتماد سیرولوجیکل مارکر ہیں۔
Anti Gliadin Abs,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A gliadin antibodies test is used to help doctors diagnose celiac disease. Celiac disease is a disorder in which the body's immune system mistakenly thinks that gluten — a protein in wheat, barley, rye, and oats — is a foreign invader. Patients are unable to digest gluten","ڈاکٹروں کو سیلیک بیماری کی تشخیص میں مدد کرنے کے لیے گلیاڈین اینٹی باڈیز کا ٹیسٹ استعمال کیا جاتا ہے۔ Celiac بیماری ایک ایسی خرابی ہے جس میں جسم کا مدافعتی نظام غلطی سے یہ سمجھتا ہے کہ گلوٹین - گندم، جو، رائی اور جئی میں ایک پروٹین - ایک غیر ملکی حملہ آور ہے۔ مریض گلوٹین کو ہضم نہیں کر پاتے"
Anti Gliadin IgA (Anti-DGP IgA),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A Gliadin Antibody Profile Blood Test, IgA and IgG is used in the detection of gliadin antibodies aids in the diagnosis and monitoring of certain gluten-sensitive enteropathies, such as celiac disease and dermatitis herpetiformis.","گلیادین اینٹی باڈی پروفائل بلڈ ٹیسٹ، آئی جی اے اور آئی جی جی کا استعمال گلیاڈین اینٹی باڈیز کے پتہ لگانے میں کیا جاتا ہے جو کچھ گلوٹین حساس انٹروپیتھیز، جیسے سیلیک بیماری اور ڈرمیٹائٹس ہرپیٹیفارمس کی تشخیص اور نگرانی میں مدد کرتا ہے۔"
Anti Gliadin IgG (Anti-DGP IgG),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A gliadin antibodies test is used to help doctors diagnose celiac disease. Celiac disease is an autoimmune disorder in which the body's immune system mistakenly thinks that gluten — a protein in wheat, barley, rye, and oats — is a foreign invader. Gliadin is a portion of the protein found in gluten. "," ڈاکٹروں کو سیلیک بیماری کی تشخیص میں مدد کرنے کے لیے گلیاڈین اینٹی باڈیز کا ٹیسٹ استعمال کیا جاتا ہے۔ Celiac بیماری ایک خود کار قوت مدافعت کی خرابی ہے جس میں جسم کا مدافعتی نظام غلطی سے یہ سمجھتا ہے کہ گلوٹین - گندم، جو، رائی اور جئی میں ایک پروٹین - ایک غیر ملکی حملہ آور ہے۔ گلیادین پروٹین کا ایک حصہ ہے جو گلوٹین میں پایا جاتا ہے۔"
Anti HBc (TOTAL),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Anti Hrpatits B antibody. Negative hepatitis B core (HBc) total antibody (Ab) test results indicate the absence of exposure to hepatitis B virus and no evidence of recent, past/resolved, or chronic hepatitis B. A positive result indicates acute, chronic, or past or resolved hepatitis B","اینٹی Hrpatits B اینٹی باڈی۔ منفی ہیپاٹائٹس بی کور (HBc) کل اینٹی باڈی (Ab) ٹیسٹ کے نتائج ہیپاٹائٹس بی وائرس کی نمائش کی عدم موجودگی کی نشاندہی کرتے ہیں اور حالیہ، ماضی/حل شدہ، یا دائمی ہیپاٹائٹس بی کا کوئی ثبوت نہیں ہے۔ مثبت نتیجہ شدید، دائمی، یا ماضی یا حل ہونے کی نشاندہی کرتا ہے۔ کالا یرقان"
Anti HBc IgG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies against Hepatits B Virus are detected through this test.,اس ٹیسٹ کے ذریعے ہیپاٹائٹس بی وائرس کے خلاف اینٹی باڈیز کا پتہ لگایا جاتا ہے۔
Anti HBc IgM,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies against Hepatits B Virus are detected through this test.,اس ٹیسٹ کے ذریعے ہیپاٹائٹس بی وائرس کے خلاف اینٹی باڈیز کا پتہ لگایا جاتا ہے۔
Anti HBe ,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies against Hepatits E Virus are detected through this test.,اس ٹیسٹ کے ذریعے ہیپاٹائٹس ای وائرس کے خلاف اینٹی باڈیز کا پتہ لگایا جاتا ہے۔
Anti HBs ,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies against Hepatits B Virus are detected through this test.,اس ٹیسٹ کے ذریعے ہیپاٹائٹس بی وائرس کے خلاف اینٹی باڈیز کا پتہ لگایا جاتا ہے۔
Anti HCV ,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Antibodies against Hepatits C Virus are detected through this test.,اس ٹیسٹ کے ذریعے ہیپاٹائٹس سی وائرس کے خلاف اینٹی باڈیز کا پتہ لگایا جاتا ہے۔
Anti HDV ,Test,Microbiology,Serum (Gel / Yellow Vial),,Antibodies against Hepatits D Virus are detected through this test.,اس ٹیسٹ کے ذریعے ہیپاٹائٹس ڈی وائرس کے خلاف اینٹی باڈیز کا پتہ لگایا جاتا ہے۔
Anti HEV IgG ,Test,Microbiology,Serum (Gel / Yellow Vial),, Anti-HEV IgG is the serologic test of choice to determine past exposure to HEV.,اینٹی ایچ ای وی IgG انتخاب کا سیرولوجک ٹیسٹ ہے جس کا تعین کرنے کے لیے ماضی میں HEV کی نمائش ہوتی ہے۔
Anti HEV IgM ,Test,Microbiology,Serum (Gel / Yellow Vial),,Anti-HEV IgM is the serologic marker of choice for diagnosis of acute HEV infection,اینٹی ایچ ای وی آئی جی ایم شدید ایچ ای وی انفیکشن کی تشخیص کے لیے انتخاب کا سیرولوجک مارکر ہے۔
Anti HIV - 1&2,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,This test looks for HIV infection in your blood or saliva. HIV is the virus that causes AIDS.This test is one of several tests that look for HIV infection. Some tests take a few days for results to come back. Rapid HIV tests can give your results in about 20 minutes. ,یہ ٹیسٹ آپ کے خون یا تھوک میں ایچ آئی وی انفیکشن کی تلاش کرتا ہے۔ ایچ آئی وی وہ وائرس ہے جو ایڈز کا سبب بنتا ہے۔ یہ ٹیسٹ ان متعدد ٹیسٹوں میں سے ایک ہے جو ایچ آئی وی انفیکشن کی تلاش کرتے ہیں۔ کچھ ٹیسٹوں کے نتائج واپس آنے میں کچھ دن لگتے ہیں۔ تیز رفتار ایچ آئی وی ٹیسٹ آپ کے نتائج کو تقریباً 20 منٹ میں دے سکتے ہیں۔
